"_id","_labels","tagline","title","released","born","name","_start","_end","_type","roles","summary","rating"
,,,,,,,"67787","67792","ACTED_IN","[""Agent Smith""]","",""
,,,,,,,"67788","67792","DIRECTED","","",""
,,,,,,,"67789","67792","DIRECTED","","",""
,,,,,,,"67790","67792","PRODUCED","","",""
,,,,,,,"67784","67793","ACTED_IN","[""Neo""]","",""
,,,,,,,"110976","110967","ACTED_IN","[""Lt. Col. Matthew Andrew Markinson""]","",""
,,,,,,,"110977","110967","ACTED_IN","[""Pfc. Louden Downey""]","",""
,,,,,,,"110978","110967","ACTED_IN","[""Dr. Stone""]","",""
,,,,,,,"110980","110967","ACTED_IN","[""Man in Bar""]","",""
,,,,,,,"110979","110967","DIRECTED","","",""
,,,,,,,"110980","110967","WROTE","","",""
,,,,,,,"110968","110981","ACTED_IN","[""Maverick""]","",""
,,,,,,,"110982","110981","ACTED_IN","[""Charlie""]","",""
,,,,,,,"110983","110981","ACTED_IN","[""Iceman""]","",""
,,,,,,,"110984","110981","ACTED_IN","[""Goose""]","",""
,,,,,,,"110985","110981","ACTED_IN","[""Viper""]","",""
,,,,,,,"110986","110981","ACTED_IN","[""Carole""]","",""
,,,,,,,"110987","110981","DIRECTED","","",""
,,,,,,,"110988","110981","WROTE","","",""
,,,,,,,"110968","110989","ACTED_IN","[""Jerry Maguire""]","",""
,,,,,,,"110974","110989","ACTED_IN","[""Rod Tidwell""]","",""
,,,,,,,"110990","110989","ACTED_IN","[""Dorothy Boyd""]","",""
,,,,,,,"110991","110989","ACTED_IN","[""Avery Bishop""]","",""
,,,,,,,"110992","110989","ACTED_IN","[""Frank Cushman""]","",""
,,,,,,,"110993","110989","ACTED_IN","[""Bob Sugar""]","",""
,,,,,,,"110994","110989","ACTED_IN","[""Laurel Boyd""]","",""
,,,,,,,"110995","110989","ACTED_IN","[""Marcee Tidwell""]","",""
,,,,,,,"110996","110989","ACTED_IN","[""Ray Boyd""]","",""
,,,,,,,"110997","110989","DIRECTED","","",""
,,,,,,,"110997","110989","PRODUCED","","",""
,,,,,,,"110997","110989","WROTE","","",""
,,,,,,,"111001","110998","ACTED_IN","[""Gordie Lachance""]","",""
,,,,,,,"110999","110998","ACTED_IN","[""Chris Chambers""]","",""
,,,,,,,"110992","110998","ACTED_IN","[""Vern Tessio""]","",""
,,,,,,,"111000","110998","ACTED_IN","[""Teddy Duchamp""]","",""
,,,,,,,"88434","110998","ACTED_IN","[""Denny Lachance""]","",""
,,,,,,,"110972","110998","ACTED_IN","[""Ace Merrill""]","",""
,,,,,,,"88435","110998","ACTED_IN","[""Mr. Lachance""]","",""
,,,,,,,"110979","110998","DIRECTED","","",""
,,,,,,,"110969","88436","ACTED_IN","[""Melvin Udall""]","",""
,,,,,,,"88437","88436","ACTED_IN","[""Carol Connelly""]","",""
,,,,,,,"88438","88436","ACTED_IN","[""Simon Bishop""]","",""
,,,,,,,"110974","88436","ACTED_IN","[""Frank Sachs""]","",""
,,,,,,,"88439","88436","DIRECTED","","",""
,,,,,,,"88444","88440","ACTED_IN","[""Chris Nielsen""]","",""
,,,,,,,"110974","88440","ACTED_IN","[""Albert Lewis""]","",""
,,,,,,,"88441","88440","ACTED_IN","[""Annie Collins-Nielsen""]","",""
,,,,,,,"88442","88440","ACTED_IN","[""The Tracker""]","",""
,,,,,,,"88443","88440","ACTED_IN","[""The Face""]","",""
,,,,,,,"88445","88440","DIRECTED","","",""
,,,,,,,"88447","88446","ACTED_IN","[""Ishmael Chambers""]","",""
,,,,,,,"88448","88446","ACTED_IN","[""Kazuo Miyamoto""]","",""
,,,,,,,"88442","88446","ACTED_IN","[""Nels Gudmundsson""]","",""
,,,,,,,"88449","88446","ACTED_IN","[""Judge Fielding""]","",""
,,,,,,,"88450","88446","DIRECTED","","",""
,,,,,,,"111013","111009","ACTED_IN","[""Joe Fox""]","",""
,,,,,,,"110986","111009","ACTED_IN","[""Kathleen Kelly""]","",""
,,,,,,,"88438","111009","ACTED_IN","[""Frank Navasky""]","",""
,,,,,,,"111010","111009","ACTED_IN","[""Patricia Eden""]","",""
,,,,,,,"111011","111009","ACTED_IN","[""Kevin Jackson""]","",""
,,,,,,,"111012","111009","ACTED_IN","[""George Pappas""]","",""
,,,,,,,"111014","111009","DIRECTED","","",""
,,,,,,,"111013","111015","ACTED_IN","[""Sam Baldwin""]","",""
,,,,,,,"110986","111015","ACTED_IN","[""Annie Reed""]","",""
,,,,,,,"111016","111015","ACTED_IN","[""Suzy""]","",""
,,,,,,,"111017","111015","ACTED_IN","[""Walter""]","",""
,,,,,,,"111018","111015","ACTED_IN","[""Greg""]","",""
,,,,,,,"111019","111015","ACTED_IN","[""Becky""]","",""
,,,,,,,"111014","111015","DIRECTED","","",""
,,,,,,,"111013","111020","ACTED_IN","[""Joe Banks""]","",""
,,,,,,,"110986","111020","ACTED_IN","[""DeDe"",""Angelica Graynamore"",""Patricia Graynamore""]","",""
,,,,,,,"111022","111020","ACTED_IN","[""Baw""]","",""
,,,,,,,"111021","111020","DIRECTED","","",""
,,,,,,,"111024","111023","ACTED_IN","[""Harry Burns""]","",""
,,,,,,,"110986","111023","ACTED_IN","[""Sally Albright""]","",""
,,,,,,,"111025","111023","ACTED_IN","[""Marie""]","",""
,,,,,,,"111026","111023","ACTED_IN","[""Jess""]","",""
,,,,,,,"110979","111023","DIRECTED","","",""
,,,,,,,"110979","111023","PRODUCED","","",""
,,,,,,,"111014","111023","PRODUCED","","",""
,,,,,,,"111014","111023","WROTE","","",""
,,,,,,,"111013","111027","ACTED_IN","[""Mr. White""]","",""
,,,,,,,"111028","111027","ACTED_IN","[""Faye Dolan""]","",""
,,,,,,,"110964","111027","ACTED_IN","[""Tina""]","",""
,,,,,,,"111013","111027","DIRECTED","","",""
,,,,,,,"67784","111029","ACTED_IN","[""Shane Falco""]","",""
,,,,,,,"111030","111029","ACTED_IN","[""Annabelle Farrell""]","",""
,,,,,,,"111031","111029","ACTED_IN","[""Jimmy McGinty""]","",""
,,,,,,,"111032","111029","ACTED_IN","[""Clifford Franklin""]","",""
,,,,,,,"111033","111029","DIRECTED","","",""
,,,,,,,"88435","111034","ACTED_IN","[""Admiral""]","",""
,,,,,,,"111035","111034","ACTED_IN","[""Dieter Dengler""]","",""
,,,,,,,"111036","111034","ACTED_IN","[""Squad Leader""]","",""
,,,,,,,"111012","111034","ACTED_IN","[""Duane""]","",""
,,,,,,,"88443","111034","DIRECTED","","",""
,,,,,,,"88444","111037","ACTED_IN","[""Armand Goldman""]","",""
,,,,,,,"111022","111037","ACTED_IN","[""Albert Goldman""]","",""
,,,,,,,"111031","111037","ACTED_IN","[""Sen. Kevin Keeley""]","",""
,,,,,,,"111038","111037","DIRECTED","","",""
,,,,,,,"111040","111039","ACTED_IN","[""English Bob""]","",""
,,,,,,,"111041","111039","ACTED_IN","[""Bill Munny""]","",""
,,,,,,,"111031","111039","ACTED_IN","[""Little Bill Daggett""]","",""
,,,,,,,"111041","111039","DIRECTED","","",""
,,,,,,,"67784","111042","ACTED_IN","[""Johnny Mnemonic""]","",""
,,,,,,,"111043","111042","ACTED_IN","[""Takahashi""]","",""
,,,,,,,"111044","111042","ACTED_IN","[""Jane""]","",""
,,,,,,,"111045","111042","ACTED_IN","[""J-Bone""]","",""
,,,,,,,"111046","111042","DIRECTED","","",""
,,,,,,,"111013","111047","ACTED_IN","[""Zachry"",""Dr. Henry Goose"",""Isaac Sachs"",""Dermot Hoggins""]","",""
,,,,,,,"67787","111047","ACTED_IN","[""Bill Smoke"",""Haskell Moore"",""Tadeusz Kesselring"",""Nurse Noakes"",""Boardman Mephi"",""Old Georgie""]","",""
,,,,,,,"111048","111047","ACTED_IN","[""Luisa Rey"",""Jocasta Ayrs"",""Ovid"",""Meronym""]","",""
,,,,,,,"111049","111047","ACTED_IN","[""Vyvyan Ayrs"",""Captain Molyneux"",""Timothy Cavendish""]","",""
,,,,,,,"111050","111047","DIRECTED","","",""
,,,,,,,"67788","111047","DIRECTED","","",""
,,,,,,,"67789","111047","DIRECTED","","",""
,,,,,,,"111051","111047","WROTE","","",""
,,,,,,,"111052","111047","PRODUCED","","",""
,,,,,,,"111013","111053","ACTED_IN","[""Dr. Robert Langdon""]","",""
,,,,,,,"111054","111053","ACTED_IN","[""Sir Leight Teabing""]","",""
,,,,,,,"111055","111053","ACTED_IN","[""Sophie Neveu""]","",""
,,,,,,,"111056","111053","ACTED_IN","[""Silas""]","",""
,,,,,,,"111057","111053","DIRECTED","","",""
,,,,,,,"67787","111058","ACTED_IN","[""V""]","",""
,,,,,,,"111059","111058","ACTED_IN","[""Evey Hammond""]","",""
,,,,,,,"111060","111058","ACTED_IN","[""Eric Finch""]","",""
,,,,,,,"111061","111058","ACTED_IN","[""High Chancellor Adam Sutler""]","",""
,,,,,,,"111062","111058","ACTED_IN","[""Dascomb""]","",""
,,,,,,,"110977","111058","DIRECTED","","",""
,,,,,,,"67788","111058","PRODUCED","","",""
,,,,,,,"67789","111058","PRODUCED","","",""
,,,,,,,"67790","111058","PRODUCED","","",""
,,,,,,,"67788","111058","WROTE","","",""
,,,,,,,"67789","111058","WROTE","","",""
,,,,,,,"111064","111063","ACTED_IN","[""Speed Racer""]","",""
,,,,,,,"111065","111063","ACTED_IN","[""Pops""]","",""
,,,,,,,"111066","111063","ACTED_IN","[""Mom""]","",""
,,,,,,,"111067","111063","ACTED_IN","[""Racer X""]","",""
,,,,,,,"111068","111063","ACTED_IN","[""Trixie""]","",""
,,,,,,,"111069","111063","ACTED_IN","[""Taejo Togokahn""]","",""
,,,,,,,"111062","111063","ACTED_IN","[""Cass Jones""]","",""
,,,,,,,"67788","111063","DIRECTED","","",""
,,,,,,,"67789","111063","DIRECTED","","",""
,,,,,,,"67788","111063","WROTE","","",""
,,,,,,,"67789","111063","WROTE","","",""
,,,,,,,"67790","111063","PRODUCED","","",""
,,,,,,,"111069","111070","ACTED_IN","[""Raizo""]","",""
,,,,,,,"111071","111070","ACTED_IN","[""Mika Coretti""]","",""
,,,,,,,"88448","111070","ACTED_IN","[""Takeshi""]","",""
,,,,,,,"111062","111070","ACTED_IN","[""Ryan Maslow""]","",""
,,,,,,,"110977","111070","DIRECTED","","",""
,,,,,,,"67788","111070","PRODUCED","","",""
,,,,,,,"67789","111070","PRODUCED","","",""
,,,,,,,"67790","111070","PRODUCED","","",""
,,,,,,,"111013","111072","ACTED_IN","[""Paul Edgecomb""]","",""
,,,,,,,"111073","111072","ACTED_IN","[""John Coffey""]","",""
,,,,,,,"111074","111072","ACTED_IN","[""Brutus \""Brutal\"" Howell""]","",""
,,,,,,,"110994","111072","ACTED_IN","[""Jan Edgecomb""]","",""
,,,,,,,"88449","111072","ACTED_IN","[""Warden Hal Moores""]","",""
,,,,,,,"111075","111072","ACTED_IN","[""\""Wild Bill\"" Wharton""]","",""
,,,,,,,"111076","111072","ACTED_IN","[""Burt Hammersmith""]","",""
,,,,,,,"111077","111072","ACTED_IN","[""Melinda Moores""]","",""
,,,,,,,"111078","111072","DIRECTED","","",""
,,,,,,,"111080","111079","ACTED_IN","[""Richard Nixon""]","",""
,,,,,,,"111081","111079","ACTED_IN","[""David Frost""]","",""
,,,,,,,"110971","111079","ACTED_IN","[""Jack Brennan""]","",""
,,,,,,,"111082","111079","ACTED_IN","[""Bob Zelnick""]","",""
,,,,,,,"111075","111079","ACTED_IN","[""James Reston, Jr.""]","",""
,,,,,,,"111057","111079","DIRECTED","","",""
,,,,,,,"110969","111083","ACTED_IN","[""Hoffa""]","",""
,,,,,,,"111084","111083","ACTED_IN","[""Robert \""Bobby\"" Ciaro""]","",""
,,,,,,,"110976","111083","ACTED_IN","[""Frank Fitzsimmons""]","",""
,,,,,,,"111085","111083","ACTED_IN","[""Peter \""Pete\"" Connelly""]","",""
,,,,,,,"111084","111083","DIRECTED","","",""
,,,,,,,"111013","111086","ACTED_IN","[""Jim Lovell""]","",""
,,,,,,,"110971","111086","ACTED_IN","[""Jack Swigert""]","",""
,,,,,,,"111087","111086","ACTED_IN","[""Gene Kranz""]","",""
,,,,,,,"111088","111086","ACTED_IN","[""Fred Haise""]","",""
,,,,,,,"111076","111086","ACTED_IN","[""Ken Mattingly""]","",""
,,,,,,,"111057","111086","DIRECTED","","",""
,,,,,,,"111088","111089","ACTED_IN","[""Bill Harding""]","",""
,,,,,,,"88437","111089","ACTED_IN","[""Dr. Jo Harding""]","",""
,,,,,,,"111036","111089","ACTED_IN","[""Eddie""]","",""
,,,,,,,"111090","111089","ACTED_IN","[""Dustin \""Dusty\"" Davis""]","",""
,,,,,,,"111091","111089","DIRECTED","","",""
,,,,,,,"111013","111092","ACTED_IN","[""Chuck Noland""]","",""
,,,,,,,"88437","111092","ACTED_IN","[""Kelly Frears""]","",""
,,,,,,,"111093","111092","DIRECTED","","",""
,,,,,,,"110969","111094","ACTED_IN","[""Randle McMurphy""]","",""
,,,,,,,"111084","111094","ACTED_IN","[""Martini""]","",""
,,,,,,,"111095","111094","DIRECTED","","",""
,,,,,,,"110969","111096","ACTED_IN","[""Harry Sanborn""]","",""
,,,,,,,"111097","111096","ACTED_IN","[""Erica Barry""]","",""
,,,,,,,"67784","111096","ACTED_IN","[""Julian Mercer""]","",""
,,,,,,,"111098","111096","DIRECTED","","",""
,,,,,,,"111098","111096","PRODUCED","","",""
,,,,,,,"111098","111096","WROTE","","",""
,,,,,,,"88444","111099","ACTED_IN","[""Andrew Marin""]","",""
,,,,,,,"111082","111099","ACTED_IN","[""Rupert Burns""]","",""
,,,,,,,"111100","111099","DIRECTED","","",""
,,,,,,,"111013","111101","ACTED_IN","[""Rep. Charlie Wilson""]","",""
,,,,,,,"111102","111101","ACTED_IN","[""Joanne Herring""]","",""
,,,,,,,"111090","111101","ACTED_IN","[""Gust Avrakotos""]","",""
,,,,,,,"111038","111101","DIRECTED","","",""
,,,,,,,"111013","111103","ACTED_IN","[""Hero Boy"",""Father"",""Conductor"",""Hobo"",""Scrooge"",""Santa Claus""]","",""
,,,,,,,"111093","111103","DIRECTED","","",""
,,,,,,,"111013","111104","ACTED_IN","[""Jimmy Dugan""]","",""
,,,,,,,"111106","111104","ACTED_IN","[""Dottie Hinson""]","",""
,,,,,,,"111107","111104","ACTED_IN","[""Kit Keller""]","",""
,,,,,,,"111019","111104","ACTED_IN","[""Doris Murphy""]","",""
,,,,,,,"111105","111104","ACTED_IN","[""\""All the Way\"" Mae Mordabito""]","",""
,,,,,,,"111088","111104","ACTED_IN","[""Bob Hinson""]","",""
,,,,,,,"111108","111104","DIRECTED","","",""
,,,,,,,"111112","111111","FOLLOWS","","",""
,,,,,,,"111110","111111","FOLLOWS","","",""
,,,,,,,"111109","111110","FOLLOWS","","",""
,,,,,,,"111111","111047","REVIEWED","","An amazing journey","95"
,,,,,,,"111111","111029","REVIEWED","","Silly, but fun","65"
,,,,,,,"111112","111029","REVIEWED","","The coolest football movie ever","100"
,,,,,,,"111110","111029","REVIEWED","","Pretty funny at times","62"
,,,,,,,"111111","111039","REVIEWED","","Dark, but compelling","85"
,,,,,,,"111111","111037","REVIEWED","","Slapstick redeemed only by the Robin Williams and Gene Hackman's stellar performances","45"
,,,,,,,"111111","111053","REVIEWED","","A solid romp","68"
,,,,,,,"111112","111053","REVIEWED","","Fun, but a little far fetched","65"
,,,,,,,"111111","110989","REVIEWED","","You had me at Jerry","92"
